"id","name","batch","migration_time"
1,database/migrations/1631703581830_users,1,"2022-08-29 23:38:36"
2,database/migrations/1631703581834_api_tokens,1,"2022-08-29 23:38:38"
3,database/migrations/1631704651557_user_addresses,1,"2022-08-29 23:38:40"
4,database/migrations/1631724964543_categories,1,"2022-08-29 23:38:41"
5,database/migrations/1631725338177_communication_items,1,"2022-08-29 23:38:42"
6,database/migrations/1632230181630_activities,1,"2022-08-29 23:38:44"
7,database/migrations/1632243527181_results,1,"2022-08-29 23:38:46"
8,database/migrations/1632963231731_categorize_items,1,"2022-08-29 23:38:47"
9,database/migrations/1632964105794_antonyms_items,1,"2022-08-29 23:38:50"
10,database/migrations/1633005332617_relate_items,1,"2022-08-29 23:38:53"
11,database/migrations/1633005510929_synonym_items,1,"2022-08-29 23:38:54"
12,database/migrations/1633024597613_complement_items,1,"2022-08-29 23:38:56"
